method,total_utility,n_assigned,service_rate,mean_utility,min_utility,max_utility,fairness_total_var,fairness_normalised,gini_total,rate_mean,rate_min,rate_max,rate_var,rate_var_within,rate_var_between,rate_normalised,gini_rate,rate_full_time,rate_part_time,rate_group_ratio,util_mean,util_min,util_max,util_var,util_var_within,util_var_between,util_normalised,gini_util,util_full_time,util_part_time,util_adj_var,util_adj_min,util_adj_max,n_drivers,n_idle_drivers,hours_total
Greedy,11708.255477309227,5065,0.7801910043130006,58.541277386546135,0.0,118.86936688423157,700.898706763917,0.45223631608628684,0.259167648590518,2.7094038011582087,0.0,7.108418449759483,1.8089960390337774,1.2792909781120103,0.5297050609217666,0.4964152014636987,0.26901988686145273,1.7797503034966002,3.279191428757258,1.8425008397609313,0.3714857976991233,0.0,0.7870370370370371,0.020172400506117537,0.015450328893690374,0.004722071612427154,0.382328414831681,0.21325042188199683,0.28371090020102185,0.42528331552054016,0.4262225373531925,0.0,5.694151330282725,200,1,5260.0
REASSIGN,11437.19923967123,5188,0.7991373998767715,57.18599619835615,0.0,126.1301662325859,869.2973610943777,0.5155781330523768,0.29452902786756124,2.532417127954834,0.0,8.365230679512024,1.4393559119896704,1.1333946922250695,0.30596121976460117,0.4737495994384311,0.25190633437853976,1.8258763401165907,2.965458255984726,1.6241287489356302,0.3790856125281333,0.0,0.8229166666666666,0.02139668595438814,0.01677462353871406,0.004622062415674077,0.38586550355862503,0.21465878468981137,0.29224518570492697,0.43231039025848556,0.4012176700065541,0.0,5.199133839192745,200,2,5260.0
LAF,11703.552782475948,5170,0.7963647566235367,58.51776391237974,0.0,121.08098840713501,634.7788071080867,0.4305498943207082,0.2465760528636274,2.736449569400583,0.0,7.026306927204132,1.6410886659501132,1.0437421736904675,0.5973464922596456,0.468143043430204,0.2591303735681145,1.749222158387694,3.341524434214934,1.910291622017245,0.38537699559442645,0.0,0.78125,0.021617047472747942,0.015195183410464849,0.0064218640622830895,0.3815156885052818,0.21348462736258458,0.2830159766131612,0.44811439432487926,0.438958826070658,0.0,5.826176339583846,200,1,5260.0
Balance Ride-Pooling,10372.776610791683,4461,0.6871534195933456,51.86388305395842,-1.1053138971328735,107.93946421146393,671.4743424414986,0.49963135122176616,0.28163897384629366,2.3008387063970237,-0.06501846453722786,6.187315534461629,1.23769094082277,0.9861241466598599,0.2515667941629104,0.48352611079544133,0.25509418787223004,1.660174141110969,2.693504085120735,1.6224226232787085,0.32439354551937527,0.008333333333333333,0.6764705882352942,0.01401459757058916,0.013010478641693513,0.0010041189288956481,0.3649371796086365,0.20365506272711975,0.2839176353376354,0.34920136143721575,0.2746735023602114,0.037965814653392695,4.545883338281596,200,0,5260.0
Kang et al. (reproduced),10221.338387966156,4195,0.6461799137399877,51.10669193983078,0.0,108.95563650131226,657.0987779160548,0.501576937135404,0.2879082351531347,2.276466306540153,0.0,6.444510989718967,1.2509183141184554,1.0035882768324456,0.24733003728601005,0.49130733571410995,0.2582542127994578,1.6412195183643288,2.6658111121963035,1.624286746755914,0.3089648584314303,0.0,0.7604166666666666,0.012945951179837774,0.011750292697854974,0.001195658481982798,0.36826283888686273,0.20157660883459827,0.2647968699392472,0.33603556105567156,0.2526698881645927,0.0,3.2763439039274718,200,1,5260.0
Ours (Gap 1+2),10144.835279345512,4073,0.6273875539125077,50.724176396727565,0.36600565910339355,172.1004086136818,1639.1579608078623,0.798169998331154,0.421782549847534,1.8849577092827314,0.008731745346403027,3.6306010292143225,0.44556604443438175,0.444508116051175,0.0010579283832068084,0.35412324283320396,0.19773488742303152,1.9265039928453285,1.8594938580669458,0.9652167163799059,0.27623984766386067,0.05357142857142857,0.4816666666666667,0.008070172881425142,0.008067245396027172,2.9274853979693485e-06,0.32520341187704527,0.1847160187845474,0.2740543446224409,0.2775793495279567,0.15501881928327302,0.3035314079290743,2.4189858041769887,200,0,5260.0
