method,total_utility,n_assigned,service_rate,mean_utility,min_utility,max_utility,fairness_total_var,fairness_normalised,gini_total,rate_mean,rate_min,rate_max,rate_var,rate_var_within,rate_var_between,rate_normalised,gini_rate,rate_full_time,rate_part_time,rate_group_ratio,util_mean,util_min,util_max,util_var,util_var_within,util_var_between,util_normalised,gini_util,util_full_time,util_part_time,util_adj_var,util_adj_min,util_adj_max,n_drivers,n_idle_drivers,hours_total
"Ours, static utility (c=1)",10049.016701042652,4755,0.7247370827617741,50.24508350521326,0.0,139.20790934562683,1247.3879410869151,0.7029221007489921,0.38957946595497317,1.8592859892371048,0.0,2.952407399813334,0.25158315255678315,0.24925044689624665,0.00233270566053658,0.26977057698113427,0.1480270821046594,1.9209787233809128,1.8214743134715443,0.9482011910396169,0.3108519480592011,0.0,0.4635416666666667,0.006921285463694039,0.006894525966774218,2.675949691981994e-05,0.2676330771789755,0.1466931097481707,0.3174595370155866,0.30680213547302926,0.13320443240125826,0.0,2.799736401679743,200,2,5260.0
"Ours, w/o fairness",11364.78473842144,4808,0.74060382008626,56.8239236921072,0.0,215.6132162809372,1880.455567628728,0.7631331503265684,0.4149291567205607,2.21839006597828,0.0,7.871362236413089,1.2844521133874156,1.2782860546417927,0.006166058745622738,0.5108825242533216,0.2740227924355054,2.118088462613254,2.279865242234264,1.076378669954801,0.32682384516953156,0.0,0.7803030303030303,0.014713736738208326,0.014370366927187416,0.0003433698110209068,0.37114853903135425,0.2014580116477483,0.3031545622310142,0.34133082503507434,0.24840621115347727,0.0,3.0205827871045043,200,4,5260.0
"Ours, w/o prediction",10289.931259810925,4383,0.6751386321626618,51.449656299054624,4.0703284740448,177.86690884828568,1531.1445008087117,0.760546218936101,0.40841172725656916,1.9187485246280047,0.09045174386766222,3.5455197777066916,0.40564729560947327,0.40446027769028375,0.0011870179191895958,0.33193743490191346,0.18709882805395298,1.9627566312346156,1.891775814127179,0.9638361598285426,0.2960406252962475,0.05,0.5178571428571429,0.007202268645576503,0.007200760039454741,1.508606121761302e-06,0.2866707254345489,0.16157772733162093,0.29447173715870006,0.2970022018966797,0.12464882636319735,0.22529494019517554,2.3682898905194016,200,0,5260.0
"Ours, w/o utilisation term",10190.609277546406,4097,0.6310844115834874,50.95304638773203,2.1114249229431152,177.1293443441391,1469.8790872755035,0.7524378793123777,0.40134029322753295,1.9177397306631712,0.16241730176485503,3.542586886882782,0.42613922719515934,0.4256254150966421,0.0005138120985172237,0.34039728786527934,0.19246282147968038,1.9466935732897366,1.8999938271178576,0.9760107359408596,0.2928106797616221,0.03205128205128205,0.5773809523809523,0.012290746989472301,0.011775649685772431,0.0005150973036998705,0.37861884516242683,0.21438566062414463,0.2638206484307845,0.3105787634805226,0.22235053440017657,0.13884492149331187,2.7369683939807095,200,0,5260.0
Kang et al. (reproduced),10221.338387966156,4195,0.6461799137399877,51.10669193983078,0.0,108.95563650131226,657.0987779160548,0.501576937135404,0.2879082351531347,2.276466306540153,0.0,6.444510989718967,1.2509183141184554,1.0035882768324456,0.24733003728601005,0.49130733571410995,0.2582542127994578,1.6412195183643288,2.6658111121963035,1.624286746755914,0.3089648584314303,0.0,0.7604166666666666,0.012945951179837774,0.011750292697854974,0.001195658481982798,0.36826283888686273,0.20157660883459827,0.2647968699392472,0.33603556105567156,0.2526698881645927,0.0,3.2763439039274718,200,1,5260.0
Ours (Gap 1+2),10144.835279345512,4073,0.6273875539125077,50.724176396727565,0.36600565910339355,172.1004086136818,1639.1579608078623,0.798169998331154,0.421782549847534,1.8849577092827314,0.008731745346403027,3.6306010292143225,0.44556604443438175,0.444508116051175,0.0010579283832068084,0.35412324283320396,0.19773488742303152,1.9265039928453285,1.8594938580669458,0.9652167163799059,0.27623984766386067,0.05357142857142857,0.4816666666666667,0.008070172881425142,0.008067245396027172,2.9274853979693485e-06,0.32520341187704527,0.1847160187845474,0.2740543446224409,0.2775793495279567,0.15501881928327302,0.3035314079290743,2.4189858041769887,200,0,5260.0
