method,gap1a,gap1b,gap2,total_utility,fairness_total_var,rate_var,rate_var_within,rate_var_between,rate_full_time,rate_part_time,rate_group_ratio,util_mean,util_var,util_adj_var,n_idle_drivers,service_rate,gini_rate,min_utility
0. Paper baseline,False,False,False,10508.172180891037,394.01433839588253,1.0171888241214568,0.5296396308097778,0.4875491933116788,1.554245131952267,2.992783925157793,1.9255546397617447,0.36500340363315464,0.0172887008553073,0.257264043137745,0,0.74665023871862,0.23014245035400616,3.1784465312957764
1. Paper + Gap 1a only,True,False,False,11064.702998518944,566.5843677851724,1.5088621767456514,1.0062011385619842,0.5026610381836671,1.6668628356441892,3.127525635786696,1.8762945390032693,0.362952170257877,0.015828881672762096,0.2834019812494869,2,0.762359464038195,0.25682324424026653,0.0
2. Paper + Gap 1b only,False,True,False,10456.996375858784,1286.962864016005,0.19329549264554868,0.1922082715486073,0.0010872210969413276,1.9884592234168548,1.9205277096381446,0.9658371099700096,0.32790339951032577,0.00986202993072811,0.15239030488049937,0,0.7235484367780687,0.12752756696487846,6.759228229522705
3. Paper + Gap 1 whole (1a+1b),True,True,False,11006.559887349606,1533.742677541083,0.36395090759692683,0.36251770706070974,0.0014332005362170754,2.1037424655240784,2.0257476315505514,0.9629256740063489,0.3367076995699609,0.011494043429657357,0.1654334423708577,0,0.7508085630679193,0.16645494715279785,2.1114249229431152
4. Paper + Gap 2 only,False,False,True,10375.155909776688,469.50315539852716,0.6828151140925413,0.37256559017269547,0.31024952391984584,1.6093959090717962,2.756936136477257,1.7130254407489416,0.33873696926095465,0.006774726657696883,0.12067590621828753,0,0.7366394578777145,0.19866770245777002,10.307822704315186
5. Paper + all gaps,True,True,True,10819.435449838638,1531.7695614692516,0.3875063116907873,0.3862892343826269,0.001217077308160422,2.0598574467309767,1.987983508910216,0.9651073243273093,0.3161856705098445,0.0074939085399146265,0.1222637072740398,2,0.7394116741105806,0.17357566486115525,0.0
