days,method,fairness_total_var,fairness_normalised,rate_var,rate_var_between,util_var,total_utility
1,Kang et al. (reproduced),39.598600891608704,1.0522542654626823,2.280612681527294,0.014980904516427427,0.046548291012190005,1196.0496864914894
2,Kang et al. (reproduced),139.50092812636314,0.857181211619313,3.145770431020101,0.002528341082726807,0.049918423681895384,2755.7886107563972
3,Kang et al. (reproduced),238.49732132035695,0.627138634719635,2.668787031801091,0.15747721913147605,0.029778087612935183,4925.022197902203
4,Kang et al. (reproduced),286.7790434712091,0.5454579668091322,2.2524476821129515,0.24206251839587756,0.018582309082785516,6209.296699345112
5,Kang et al. (reproduced),414.8306713671131,0.5651578373368353,1.4021149041660357,0.15639488081436728,0.01719766888528703,7207.682884335518
6,Kang et al. (reproduced),553.7341900021842,0.5432805090297387,1.674129129854478,0.24008120083025647,0.014896973639630029,8662.765157580376
7,Kang et al. (reproduced),657.0987779160548,0.501576937135404,1.2509183141184554,0.24733003728601005,0.012945951179837774,10221.338387966156
1,Ours (Gap 1+2),1.0197573726016518,1.373448099761923,0.046808161964380667,0.0003506768854492148,0.002880627139844083,147.05038630962372
2,Ours (Gap 1+2),34.88390386776479,0.9433771188527075,0.16735705936947548,0.0013160890778828266,0.005953837043880399,1252.1524215340614
3,Ours (Gap 1+2),158.87772722596696,0.7680555266958129,0.26995804318361194,0.0011362682760169302,0.005888452869308463,3282.229060649872
4,Ours (Gap 1+2),367.8453526196041,0.7169397090146629,0.3274158690630452,0.0032057890337082876,0.007229253672455054,5350.322949767113
5,Ours (Gap 1+2),623.1715426990555,0.7316621393964329,0.3787301437158891,0.0020752537082459202,0.007690529278997167,6823.751763164997
6,Ours (Gap 1+2),1057.5820223316916,0.7830063899532983,0.4761997759848368,0.002309852112592327,0.007760219941132334,8306.569808840752
7,Ours (Gap 1+2),1639.1579608078623,0.798169998331154,0.44556604443438175,0.0010579283832068084,0.008070172881425142,10144.835279345512
