method,total_utility,n_assigned,service_rate,mean_utility,min_utility,max_utility,fairness_total_var,fairness_normalised,gini_total,rate_mean,rate_min,rate_max,rate_var,rate_var_within,rate_var_between,rate_normalised,gini_rate,rate_full_time,rate_part_time,rate_group_ratio,util_mean,util_min,util_max,util_var,util_var_within,util_var_between,util_normalised,gini_util,util_full_time,util_part_time,util_adj_var,util_adj_min,util_adj_max,n_drivers,n_idle_drivers,hours_total,lambda_within,lambda_between,lambda_util,parity_error
B: lam_util=1.0,10636.137851834297,4761,0.7333641404805915,53.18068925917149,5.770846009254456,168.9787939786911,1540.992590596289,0.7381528713825152,0.3990610080049698,1.974164065931317,0.5616686268307817,3.46101590641384,0.3937738602432765,0.39190172282466623,0.0018721374186102206,0.3178631618003017,0.18053476669598684,2.0294319589505476,1.940290196016305,0.9560755104199998,0.3118508501581311,0.10526315789473684,0.4573643410852713,0.005262388709214864,0.0052397840203124045,2.2604688902459718e-05,0.2326186493804575,0.13155151551306007,0.31792385061301875,0.3081286885890064,0.09468971316653566,0.4650027166706931,2.6806163514850216,200,0,5260.0,1.0,16.0,1.0,0.04392448958000017
B: lam_util=2.0,10095.864292383194,4580,0.7054836722119532,50.47932146191597,5.671050071716309,166.80468606948853,1408.8234159108094,0.7435578657114739,0.4017409991539667,1.8660577536231593,0.6135812153418859,3.632769932547845,0.3750960874648153,0.3723113642901171,0.002784723174698211,0.32820575063557816,0.1867586174467955,1.9334632111624903,1.8247447312603435,0.9437700809229362,0.3021804984565627,0.10416666666666667,0.4523809523809524,0.004824286595668601,0.004656556946332205,0.00016772964933639637,0.22985296839285632,0.1295126319068692,0.318723296427485,0.29204136421631993,0.1282369266181258,0.44080718201702285,3.9818174940191753,200,0,5260.0,1.0,16.0,2.0,0.05622991907706376
C: lam_within=0.1,11211.392403304577,4650,0.7162661737523105,56.05696201652288,0.0,180.43988263607025,1668.2010837088205,0.7286091851533544,0.40550338491375115,2.1121943165299237,0.0,4.728636496945431,0.7883589358398057,0.7882390730911881,0.00011986274861751841,0.4203665279012872,0.23467284964346938,2.126178791393788,2.103623186774652,0.9893914826399194,0.31556940200319994,0.0,0.6127450980392157,0.011459857709216363,0.011174132497832563,0.00028572521138379634,0.33923036978856336,0.18641329695358688,0.2939781250695354,0.32880276528512337,0.1980785916473352,0.0,2.391996328903333,200,3,5260.0,0.1,16.0,0.05,0.010608517360080616
C: lam_within=0.25,11168.015808105469,4739,0.7299753542821935,55.84007904052734,0.0,185.30759918689728,1647.2953491496453,0.7268414929903771,0.4029627299056686,2.109358955389004,0.0,4.243285164237022,0.6935007414965406,0.6930528897782819,0.00044785171825864904,0.39479620902927004,0.22223065867993985,2.136390519070256,2.092791222810172,0.9795920755728413,0.32328689810947153,0.0,0.5925925925925926,0.010538178588785958,0.010256712733320177,0.00028146585546578025,0.31753724528444993,0.17491884064081917,0.30185715792950174,0.3364212549939691,0.18079398476681527,0.0,2.6315140198939817,200,1,5260.0,0.25,16.0,0.05,0.020407924427158664
C: lam_within=0.5,11184.210486710072,4803,0.7398336414048059,55.92105243355036,0.0,200.22608762979507,1640.9063029316696,0.7243801740520714,0.3943959238595131,2.109056251146535,0.0,4.004521752595902,0.49726615540862285,0.49710743149540354,0.000158723913219416,0.3343538187188086,0.18705049298772752,2.1251488144989885,2.0991930671563215,0.9877863859859686,0.3284514264322113,0.0,0.59375,0.010940631216078132,0.010483347005702704,0.0004572842103754271,0.31845644105685367,0.17791035693193744,0.3011366815018163,0.3451927217121308,0.17358112317535684,0.0,2.7681153548452597,200,2,5260.0,0.5,16.0,0.05,0.012213614014031426
C: lam_within=2.0,10577.83723884821,4920,0.7578558225508318,52.88918619424105,5.315282821655273,154.95193779468536,1440.3997548787652,0.7175871197968822,0.3918038587462577,1.9597548141582326,0.4281825602054596,2.9519161731004715,0.2627525730794412,0.25872784331633747,0.004024729763103765,0.2615602530575343,0.14745113923085712,2.0407897717402985,1.9100882272530957,0.9359554098628463,0.3380094556532842,0.0625,0.6666666666666666,0.011377484568685214,0.010970118313004032,0.00040736625568118384,0.31556895955479747,0.177460048758933,0.31222864483132357,0.3538105977699697,0.1557901302165428,0.30362128350311773,2.4632582401962804,200,0,5260.0,2.0,16.0,0.05,0.06404459013715369
"D: w=0.1,b=8.0,u=0.05",11177.131389856339,4715,0.7262784966112138,55.885656949281696,0.0,181.45504707098007,1789.840548553394,0.7570190541734135,0.4159469836551457,2.1059433052948595,0.0,4.716388019648465,0.854507874144544,0.8542151636234563,0.00029271052108770945,0.4389462663274068,0.24643364031251372,2.127796916526872,2.092549156475239,0.983434622083593,0.3195001161790558,0.0,0.6071428571428571,0.012470624227647702,0.012262135930469088,0.00020848829717861868,0.349520840519803,0.19408137204866455,0.30105655045956103,0.33080423710390755,0.1901463143980473,0.0,2.353434321094635,200,2,5260.0,0.1,8.0,0.05,0.016565377916406998
"D: w=0.1,b=8.0,u=0.1",11280.293264567852,4737,0.7296672828096118,56.40146632283926,0.0,196.70819491147995,1754.7065861782694,0.7426973224144875,0.41104070411385335,2.11906495451988,0.0,4.537320613861084,0.8882874342398702,0.8876413850027508,0.0006460492371193084,0.44476693180227245,0.24801359925904767,2.1515315578877603,2.0991660685847267,0.9756612962003481,0.3167325128826238,0.0,0.6274509803921569,0.010425731136428522,0.010348354966771115,7.73761696574044e-05,0.32237444991594755,0.17497052220384596,0.3054966181945703,0.3236190289817533,0.1833551585240152,0.0,3.1423483983537084,200,2,5260.0,0.1,8.0,0.1,0.024338703799651862
"D: w=0.1,b=32.0,u=0.05",11153.463205397129,4703,0.7244300677757239,55.76731602698565,-0.39622771739959717,178.5368967652321,1739.8148738721693,0.7479486393142416,0.4130899148149111,2.104927609129335,-0.049528464674949646,4.983012994130452,0.954494910829649,0.9543398953873852,0.00015501544226383658,0.46414069052420454,0.2529582088048691,2.1208310657383453,2.0951803292721993,0.9879053372611666,0.3174034061076859,0.0,0.6611111111111111,0.01274977453799291,0.01253262975162611,0.00021714478636680252,0.3557457083528956,0.1961058606077355,0.29858084353063785,0.3289398154291024,0.209586106909284,0.0,2.7128259804577546,200,3,5260.0,0.1,32.0,0.05,0.012094662738833417
"D: w=0.1,b=32.0,u=0.1",11216.65810084343,4735,0.7293592113370302,56.083290504217146,0.0,183.68726176023483,1797.5294090640282,0.755969920789059,0.41856007887926344,2.109685852557852,0.0,5.4136388798554735,0.9582193182065087,0.958035476393784,0.00018384181272477953,0.46399646363499386,0.25865316683004813,2.1270049873886627,2.0990708989518714,0.9868669379703306,0.3166350407611358,0.0,0.5370370370370371,0.009605796545446119,0.009530511428075211,7.528511737090814e-05,0.30953354178356957,0.17106024473041442,0.3055520081187344,0.32342786721938177,0.1837967529181056,0.0,3.410030205338117,200,2,5260.0,0.1,32.0,0.1,0.013133062029669351
