o,d,km,tau_min,tau_max,tau_bar,ratio,profiles
12,7,2.4140100479125977,4.025000095367432,13.366666793823242,9.050000190734863,3.320910930633545,44
10,4,2.7358779907226562,5.066666603088379,16.75,11.399999618530273,3.3059210777282715,48
6,4,2.4944770336151123,5.483333587646484,17.96666717529297,13.683333396911621,3.2765955924987793,48
6,5,3.025559186935425,5.900000095367432,19.299999237060547,14.616666793823242,3.271186351776123,44
15,0,3.057745933532715,5.733333110809326,18.700000762939453,13.283333778381348,3.2616281509399414,40
19,4,3.057745933532715,7.416666507720947,24.183334350585938,14.666666984558105,3.260674476623535,47
3,4,1.6415268182754517,3.7833333015441895,12.324999809265137,8.75,3.257709264755249,48
13,6,4.634899139404297,8.899999618530273,28.916667938232422,16.366666793823242,3.2490639686584473,44
3,14,3.3474271297454834,5.483333587646484,17.741666793823242,12.449999809265137,3.2355620861053467,46
3,1,2.8324384689331055,5.983333110809326,19.33333396911621,13.300000190734863,3.2311980724334717,48
18,0,3.701482057571411,6.324999809265137,20.40833282470703,15.600000381469727,3.226613998413086,36
3,10,4.11991024017334,7.175000190734863,23.116666793823242,16.200000762939453,3.221834897994995,46
24,6,6.372986316680908,9.766666412353516,31.433332443237305,21.75,3.2184300422668457,33
23,5,2.7358779907226562,4.9666666984558105,15.866666793823242,9.633333206176758,3.1946308612823486,48
3,0,1.770274043083191,4.474999904632568,14.291666984558105,9.449999809265137,3.1936686038970947,48
33,3,2.574944019317627,5.199999809265137,16.58333396911621,9.716666221618652,3.1891028881073,41
13,2,3.2830536365509033,6.400000095367432,20.358333587646484,12.483333587646484,3.1809895038604736,46
24,4,4.988954067230225,8.050000190734863,25.5,17.049999237060547,3.1677017211914062,41
19,1,2.5266637802124023,5.400000095367432,17.100000381469727,11.133333206176758,3.1666667461395264,44
21,5,2.639317512512207,4.0333333015441895,12.716666221618652,8.933333396911621,3.152892589569092,45
7,9,3.8624160289764404,6.7166666984558105,21.16666603088379,13.133333206176758,3.15136456489563,44
14,6,4.329124450683594,8.141666412353516,25.600000381469727,16.233333587646484,3.144319534301758,44
4,23,1.609339952468872,3.4666666984558105,10.883333206176758,6.7166666984558105,3.13942289352417,47
14,1,2.2530760765075684,4.525000095367432,14.199999809265137,9.616666793823242,3.1381213665008545,46
9,12,1.6415268182754517,2.4749999046325684,7.75,5.983333110809326,3.1313133239746094,48
22,4,4.377404689788818,8.483333587646484,26.5,20.75,3.123771905899048,31
0,23,2.2530760765075684,5.833333492279053,18.200000762939453,12.949999809265137,3.120000123977661,44
14,3,3.3796141147613525,6.333333492279053,19.75,11.449999809265137,3.1184210777282715,47
33,23,1.770274043083191,3.5416665077209473,11.016666412353516,6.316666603088379,3.110588312149048,39
12,2,1.6415268182754517,5.083333492279053,15.783333778381348,10.266666412353516,3.1049180030822754,47
23,2,1.561059832572937,3.933333396911621,12.183333396911621,8.608333587646484,3.0974576473236084,46
8,2,4.345218181610107,8.449999809265137,26.16666603088379,18.950000762939453,3.096647024154663,43
31,5,4.329124450683594,8.475000381469727,26.200000762939453,18.08333396911621,3.0914454460144043,26
24,3,6.437359809875488,9.966666221618652,30.75,21.016666412353516,3.085284471511841,38
2,3,1.4484059810638428,2.816666603088379,8.683333396911621,6.449999809265137,3.0828404426574707,48
1,0,1.609339952468872,3.191666603088379,9.800000190734863,7.050000190734863,3.0704963207244873,48
18,7,2.4140100479125977,4.266666889190674,13.100000381469727,9.916666984558105,3.0703125,38
18,5,6.11549186706543,10.75,32.91666793823242,24.399999618530273,3.0620155334472656,31
6,3,1.2230983972549438,2.9833333492279053,9.133333206176758,6.7833333015441895,3.0614523887634277,47
10,3,4.023349761962891,7.933333396911621,24.25,15.899999618530273,3.056722640991211,45
3,13,4.087723731994629,7.258333206176758,22.166667938232422,15.483333587646484,3.0539612770080566,42
5,3,2.6232242584228516,5.633333206176758,17.200000762939453,11.425000190734863,3.0532546043395996,48
22,7,1.2874720096588135,2.566666603088379,7.833333492279053,6.266666889190674,3.051948070526123,38
11,6,5.278635025024414,8.649999618530273,26.33333396911621,20.03333282470703,3.044316291809082,42
19,3,2.0760486125946045,5.625,17.066667556762695,11.483333587646484,3.034074306488037,46
33,4,1.2874720096588135,3.433333396911621,10.416666984558105,5.9583330154418945,3.03398060798645,45
19,23,2.9289987087249756,9.091667175292969,27.58333396911621,15.699999809265137,3.0339138507843018,32
15,5,3.975069761276245,7.583333492279053,23.0,15.899999618530273,3.0329668521881104,39
21,6,5.326915264129639,9.533332824707031,28.891666412353516,19.91666603088379,3.03059458732605,37
17,0,4.329124450683594,7.650000095367432,23.166667938232422,16.566667556762695,3.028322458267212,38
1,2,1.561059832572937,3.758333206176758,11.366666793823242,8.233333587646484,3.024390459060669,48
5,23,2.8968119621276855,5.949999809265137,17.91666603088379,11.033333778381348,3.011204481124878,44
18,4,5.793623924255371,10.5,31.549999237060547,22.183332443237305,3.0047619342803955,32
21,2,4.152097225189209,7.483333110809326,22.483333587646484,16.024999618530273,3.0044543743133545,41
23,1,3.057745933532715,6.150000095367432,18.433332443237305,12.850000381469727,2.9972898960113525,44
4,2,1.2874720096588135,3.6666667461395264,10.983333587646484,7.5,2.9954545497894287,48
1,6,2.4140100479125977,4.7083330154418945,14.050000190734863,10.816666603088379,2.9840710163116455,48
8,4,5.326915264129639,10.0,29.816665649414062,20.233333587646484,2.9816665649414062,44
13,3,4.184284210205078,7.816666603088379,23.21666717529297,13.666666984558105,2.970149278640747,47
13,1,2.574944019317627,5.399999618530273,16.024999618530273,10.366666793823242,2.967592716217041,45
19,5,3.427894115447998,7.666666507720947,22.708332061767578,15.391666412353516,2.96195650100708,42
23,4,1.609339952468872,3.4166667461395264,10.116666793823242,6.683333396911621,2.9609756469726562,48
0,9,2.574944019317627,3.9000000953674316,11.533333778381348,9.25,2.9572649002075195,44
10,0,3.218679904937744,6.358333587646484,18.799999237060547,12.800000190734863,2.956749439239502,44
12,6,2.4622902870178223,5.566666603088379,16.424999237060547,11.633333206176758,2.95059871673584,40
4,3,1.6737135648727417,3.4666666984558105,10.199999809265137,7.083333492279053,2.942307710647583,48
8,20,1.4162192344665527,2.691666603088379,7.916666507720947,5.433333396911621,2.941176414489746,47
4,21,3.9911632537841797,6.016666889190674,17.674999237060547,14.083333015441895,2.9376728534698486,40
8,19,2.574944019317627,4.5333333015441895,13.300000190734863,9.149999618530273,2.933823585510254,43
4,5,1.609339952468872,3.4833333492279053,10.216666221618652,6.2166666984558105,2.933014154434204,48
10,7,4.828020095825195,8.866666793823242,26.0,18.691665649414062,2.932330846786499,38
4,1,1.7219938039779663,4.383333206176758,12.850000381469727,8.733333587646484,2.9315590858459473,48
