o,d,h,mean_min,n,mean_km
1000,1003,6,5.485416666666667,32.0,1.92567589375
1000,1003,8,8.292628205128203,52.0,2.1893213769230773
1000,1003,9,8.911842105263156,38.0,1.9007152421052633
1000,2000,8,3.7005128205128206,65.0,0.7917952800000001
1000,2000,9,3.8458333333333337,40.0,0.718167975
1000,2001,8,5.984848484848486,33.0,0.9934016909090909
1000,2001,9,4.2898550724637685,69.0,0.8093347536231884
1000,2001,11,4.506989247311828,31.0,1.0294584580645163
1000,2001,12,4.206666666666667,40.0,0.982904405
1000,2001,13,5.140740740740741,36.0,1.2150517
1000,3001,6,4.580392156862745,34.0,1.260965223529412
1000,3001,7,6.029793510324484,113.0,1.1806573982300885
1000,3001,8,6.285289855072464,230.0,1.2948189869565216
1000,3001,9,5.787421383647799,159.0,1.2049806729559749
1000,3001,10,5.248404255319149,94.0,1.2248104638297872
1000,3001,11,5.802777777777777,54.0,1.2934325185185185
1000,3001,12,5.3099358974358974,52.0,1.2976851192307692
1000,3001,14,5.632471264367816,58.0,1.3826450379310344
1000,3001,15,6.3175,40.0,1.43472661
1000,3001,16,5.978125,32.0,1.3226763125
1000,3001,17,6.300462962962964,36.0,1.4752283333333334
1000,3001,18,6.7075268817204305,31.0,1.3845515419354841
1000,3002,8,8.205416666666668,40.0,1.82418689
1000,3002,9,8.081770833333334,64.0,1.7353211468749998
1000,3002,11,7.133333333333333,34.0,1.790627417647059
1000,3002,12,7.797297297297297,37.0,1.8046355837837837
1000,3002,13,7.709803921568628,34.0,1.8213942117647057
1000,3002,19,7.583333333333333,33.0,1.9911924909090908
1000,3002,20,6.269117647058824,34.0,1.8408009588235292
1000,4002,7,5.639903846153846,104.0,1.9482298653846153
1000,4002,8,6.974006116207951,109.0,1.9766829284403669
1000,4002,9,6.674444444444445,90.0,1.91350526
1000,4002,10,6.446491228070176,57.0,1.9924758561403506
1000,4002,11,7.270952380952381,35.0,2.0700710514285716
1000,4002,12,7.033333333333332,31.0,1.9986964516129029
1000,4002,18,7.672972972972974,37.0,2.0869225189189184
1000,4002,19,6.889784946236558,31.0,2.0853931548387097
1000,5002,8,9.347297297297297,37.0,2.471424291891892
1000,9002,9,12.405701754385964,38.0,4.422296915789474
1000,11005,9,17.912037037037038,36.0,6.366280816666667
1000,11005,10,19.064705882352943,34.0,6.456766747058823
1000,11005,11,20.244444444444447,48.0,6.417913808333332
1000,11005,12,17.739705882352936,34.0,6.1637722
1000,11005,13,17.510416666666664,40.0,6.218892094999999
1000,11005,14,19.87868217054264,43.0,6.341922395348837
1000,11005,15,19.203508771929826,38.0,6.297601526315789
1000,11005,16,18.561290322580643,31.0,6.1767507483870965
1000,11009,7,17.71888888888889,30.0,9.57718234
1000,11009,8,23.759722222222223,48.0,9.499129350000002
1000,11010,8,21.02246376811594,46.0,9.432831539130435
1000,11010,9,18.468627450980392,34.0,9.32423195882353
1000,12007,14,28.38166666666667,30.0,8.588511133333332
1000,12010,7,20.1625,40.0,10.091366470000002
1000,12010,8,24.927500000000002,40.0,10.266382195
1000,12011,7,18.90714285714286,49.0,10.241642697959186
1000,13007,7,18.64342105263158,38.0,7.670622652631579
1000,13007,13,28.375833333333333,40.0,7.945311579999999
1000,13007,14,28.93684210526316,38.0,8.073381163157894
1000,13007,15,27.046774193548387,31.0,7.8374858000000005
1000,13010,8,29.22692307692308,39.0,10.749153246153847
1000,13010,9,29.263541666666665,32.0,10.702111
1001,1,15,5.428494623655913,31.0,1.1530142387096776
1001,1002,9,7.76578947368421,38.0,1.024048452631579
1001,2001,13,4.935294117647059,34.0,0.9864307529411765
1001,2001,14,4.550000000000001,32.0,1.03249219375
1001,3001,7,6.04040404040404,33.0,1.402076515151515
1001,3001,9,7.876950354609927,47.0,1.5141492510638297
1001,3001,10,7.58953488372093,43.0,1.5397266883720928
1001,3001,12,7.247916666666668,32.0,1.6747194375
1001,3001,13,7.1550505050505055,33.0,1.5947096363636364
1001,3001,15,7.531182795698926,31.0,1.5745574903225807
1001,3002,12,7.002222222222221,30.0,1.4816656933333332
1001,3004,13,14.945698924731182,31.0,2.5925948258064517
1001,3004,14,12.432777777777778,30.0,2.4633630933333337
1001,4002,9,8.83,40.0,2.038631445
1001,4002,10,8.918181818181818,33.0,2.169682927272727
1001,4002,11,8.943010752688172,31.0,2.1383456322580647
1001,4002,13,8.972043010752689,31.0,2.2593057032258064
1001,4003,11,9.802450980392157,34.0,2.0258750588235293
1001,4003,12,9.131904761904762,35.0,1.9799480114285717
1001,4003,14,7.6641025641025635,39.0,1.9865032717948718
1001,5003,14,10.647395833333333,32.0,2.70117660625
1001,6004,20,11.396354166666665,32.0,3.3217783437499997
1001,11005,10,19.518229166666664,32.0,6.251280062499999
1001,11005,11,22.25,30.0,6.6819796799999995
1001,11005,13,21.305405405405406,37.0,6.44127461081081
1001,11005,14,22.49047619047619,42.0,6.473378561904762
1001,11005,15,20.34423076923077,52.0,6.302423030769232
1001,11005,16,19.965789473684207,38.0,6.35985757368421
1001,11005,17,19.835353535353534,33.0,6.307637442424242
1001,11009,11,20.41720430107527,31.0,9.159221167741936
1001,11009,12,19.368095238095236,35.0,9.168639885714285
1001,11009,14,19.772222222222222,33.0,9.250291248484848
1001,11009,17,22.07929292929293,33.0,9.33027056969697
1001,12006,15,27.562365591397846,31.0,7.7326191290322575
1001,12006,16,25.67761904761905,35.0,7.413999474285713
1001,12007,13,27.078333333333333,30.0,7.769357073333334
1001,12010,15,23.21333333333333,30.0,9.842723440000002
1001,13007,14,28.675000000000004,30.0,8.050991573333333
1001,13007,15,29.56344086021505,31.0,8.263701329032257
1002,1,8,4.239062500000001,32.0,0.87356986875
1002,1,9,4.51625,40.0,0.80708401
1002,1000,8,6.3730392156862745,34.0,1.2633318999999998
1002,1000,21,5.885416666666666,40.0,1.3820207249999998
1002,1001,9,7.344285714285713,35.0,1.173898577142857
1002,1002,9,7.164141414141415,33.0,1.5239962121212123
1002,1002,10,8.11140350877193,38.0,2.69056237368421
1002,1002,12,8.816666666666666,31.0,1.6794241612903227
1002,1003,7,2.7369369369369374,37.0,0.5797973567567568
1002,1003,8,3.4912568306010927,183.0,0.7122428775956284
1002,1003,14,6.85787037037037,36.0,2.211948422222222
1002,2000,8,9.214,50.0,1.99719094
1002,2000,9,10.532558139534883,43.0,2.001195576744186
1002,2001,8,9.340833333333332,40.0,1.7944140999999998
1002,2001,9,9.108148148148148,45.0,1.6966019911111112
1002,2001,13,8.190860215053764,31.0,1.9078466129032257
1002,2001,21,6.669354838709677,31.0,1.6731944580645162
1002,2001,22,7.30388888888889,30.0,1.8131897333333333
1002,2002,8,7.275245098039216,68.0,0.8666769235294117
1002,2002,9,7.992483660130719,51.0,0.859576894117647
1002,2002,10,8.979629629629628,45.0,1.5653513733333335
1002,2002,11,6.602604166666666,32.0,0.9474989250000001
1002,2002,12,7.3500000000000005,36.0,0.7988584944444443
1002,2002,13,6.3937037037037046,45.0,0.7928681733333333
1002,2002,14,6.753144654088052,53.0,1.0639862943396228
1002,2002,15,5.683888888888888,30.0,0.8819183200000001
1002,2002,17,7.036111111111111,30.0,1.04446166
1002,2002,18,6.455,40.0,1.06860176
1002,2002,19,5.3842592592592595,36.0,1.1408432444444445
1002,2002,20,4.917999999999999,50.0,1.036093092
1002,2002,21,5.641025641025641,39.0,1.1372669333333334
1002,2002,22,4.725757575757576,44.0,0.9345144772727273
1002,2002,23,4.739705882352942,34.0,0.9537706176470588
1002,2003,8,5.249444444444444,30.0,0.7424421866666667
1002,3001,6,7.0837121212121215,44.0,1.5672777045454545
1002,3001,7,9.074,150.0,2.094716944
1002,3001,8,10.223002754820937,121.0,2.1210037173553715
1002,3001,9,11.065986394557823,98.0,2.138123142857143
1002,3001,10,10.02986111111111,72.0,2.114717463888889
1002,3001,11,9.251990049751246,67.0,2.0198418
1002,3001,12,9.84074074074074,45.0,2.0570941511111114
1002,3001,13,9.81875,48.0,2.38584655
1002,3001,14,9.898095238095237,35.0,2.3551541371428577
1002,3001,15,9.2015625,32.0,2.2279300625
1002,3001,16,10.39954954954955,37.0,2.1434668972972974
1002,3001,18,9.339473684210526,38.0,2.141269221052631
1002,3001,19,8.976822916666666,64.0,2.2120881218750004
1002,3001,20,8.535555555555556,60.0,2.265414273333333
1002,3001,21,7.896014492753623,46.0,2.098089560869565
1002,3002,8,10.171153846153844,52.0,1.5650831499999998
1002,3002,9,9.448809523809524,42.0,1.3629577095238095
1002,3002,10,9.037755102040814,49.0,1.4503766204081632
1002,3002,11,10.164130434782608,46.0,1.6905067130434783
1002,3002,12,8.455376344086021,31.0,1.5003201935483874
1002,3002,13,9.162916666666666,40.0,1.738489535
1002,3002,18,8.445390070921986,47.0,1.6076279361702126
1002,3002,19,6.963207547169811,53.0,1.5285693509433966
1002,3002,20,6.430503144654088,53.0,1.662782233962264
1002,3002,21,7.724285714285715,35.0,1.7169358742857141
1002,3002,22,6.798717948717949,39.0,1.5284603487179484
1002,3003,8,10.957870370370369,36.0,1.77429735
1002,3003,9,12.958130081300812,41.0,1.8558437853658538
1002,3003,20,6.219444444444444,30.0,1.6973172533333334
1002,3004,8,12.48170731707317,41.0,1.7906851414634146
1002,3004,9,12.70673758865248,47.0,1.6932311276595744
1002,3004,10,10.881140350877192,38.0,1.7651918736842103
1002,3004,11,10.067777777777776,30.0,1.6919527866666668
1002,3004,12,11.97520325203252,41.0,1.9924414243902437
1002,3004,13,9.96991869918699,41.0,1.6964798731707316
1002,3004,14,9.407916666666669,40.0,1.7746996849999999
1002,3004,18,8.736559139784946,31.0,1.8149202064516128
1002,3005,10,9.564351851851852,36.0,1.7836851666666667
1002,3005,18,8.266666666666667,31.0,1.8694301096774193
1002,3006,18,8.869892473118279,31.0,2.296164780645161
1002,3006,19,8.932121212121212,55.0,2.357244189090909
1002,3006,20,9.104545454545455,33.0,2.49837843030303
1002,4002,6,7.547166666666667,100.0,2.325335366
1002,4002,7,8.545316804407713,121.0,2.163165765289256
1002,4002,8,10.693939393939397,77.0,2.641198646753247
1002,4002,9,12.003413654618473,83.0,2.520071322891566
1002,4002,10,10.712888888888891,75.0,2.5631421733333335
1002,4002,11,10.487061403508772,76.0,2.5334399684210527
1002,4002,12,10.476415094339623,53.0,2.9757607547169815
1002,4002,13,10.421428571428573,49.0,2.7999231632653054
1002,4002,14,10.267916666666665,40.0,2.80347028
1002,4002,15,10.075641025641024,39.0,2.5914500512820515
1002,4002,17,11.725252525252527,33.0,2.613470624242424
1002,4002,18,10.500277777777777,60.0,2.584868263333333
1002,4002,19,9.948936170212766,47.0,2.3040955021276597
1002,4002,20,8.449259259259259,45.0,2.273103342222222
1002,4002,21,8.847142857142856,35.0,2.36894848
1002,4003,8,10.74656862745098,34.0,1.9955816
1002,4003,9,12.108108108108109,37.0,1.9860125513513514
1002,4003,10,12.352252252252255,37.0,1.9642647135135134
1002,4003,11,12.375378787878788,44.0,2.115550581818182
1002,4003,12,10.523636363636365,55.0,2.0573217345454546
1002,4003,13,10.757916666666668,40.0,2.158527275
1002,4003,14,9.875555555555557,30.0,2.1189643333333334
1002,4003,18,10.075833333333334,40.0,2.362108785
1002,4003,19,9.096666666666666,55.0,2.209184909090909
1002,4003,20,8.438271604938272,54.0,2.1586017814814817
1002,4003,21,7.780081300813008,41.0,2.114515751219512
1002,4003,23,7.671505376344088,31.0,2.2063532258064513
1002,4004,8,13.387777777777778,30.0,2.4574621800000003
1002,4004,9,16.241666666666664,48.0,2.458602129166667
1002,4004,11,14.409848484848483,44.0,2.4527804636363637
1002,4004,12,13.694444444444445,48.0,2.4039516250000004
